GEOID,NAME,NAMEmsa,tpopr,pwhite,pblack,pasian,phisp,povr,ttrips,PM25,mpm,npm
36081053601,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1988,0.008551308,0.753521127,0.055331992,0.121227364,0.046780684,27426,7.896278962,8.055227524,7.888249891
36081055400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2361,0.156713257,0.140194833,0.37441762,0.269800932,0.110546379,31969,7.931655191,8.110189815,7.924693989
36081059200,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1442,0,0.959084605,0,0.012482663,0.037947997,24256,7.845154918,7.992390527,7.841682045
36005014701,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7120,0.005617978,0.375280899,4.21E-04,0.59508427,0.584100058,101481,8.299010929,8.371951506,8.30255377
36005014900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4769,0.029146572,0.330677291,0,0.632417698,0.403201052,80704,8.281270765,8.378216169,8.286237842
36005017100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",0,0,0,0,0,0,2579,8.323211749,8.423212053,8.323567104
36005017901,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5006,0.003995206,0.221733919,0.015181782,0.713943268,0.404314822,68933,8.329767486,8.420100745,8.328854098
36005018302,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3814,0.01914001,0.319349764,0.005768222,0.644729942,0.268746723,59429,8.316047541,8.431833919,8.32912096
36005019500,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7418,0.014289566,0.303451065,0,0.632919925,0.336187845,110853,8.348364481,8.423279771,8.345619071
36005021301,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1361,0.052902278,0.15429831,0,0.783247612,0.391623806,20366,8.37270082,8.432291305,8.370269718
36005022101,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3896,0.001540041,0.137577002,0.054671458,0.790811088,0.453285421,63133,8.348812842,8.419577216,8.34882821
36005022703,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1736,0.02764977,0.181451613,0.065092166,0.717741935,0.263248848,23281,8.335616667,8.408526542,8.340280796
36005023800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2288,0.157342657,0.202797203,0.093531469,0.519230769,0.185576077,57013,8.265648361,8.380185362,8.260693511
36081111300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2530,0.491304348,0.004743083,0.337944664,0.158498024,0.128509292,45315,8.014956831,8.088733653,8.011979001
36081118500,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2130,0.06713615,0.014084507,0.61971831,0.291079812,0.18685446,45190,8.054345902,8.190764138,8.055626821
36081120300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1554,0.191119691,0.00965251,0.722651223,0.061776062,0.225868726,28974,8.045272131,8.166001813,8.047291452
